,Order,Sample_Site,DATE,Sp,Species,root_leaves,PT,Plot,Treatment,code,aseptate,arbuscule,vesicle,septate,total
ITS78,120,KY,16-Oct,ELCA_Em,ELCA_Em,root,4C,4,C,KY.ELCA_Em.root.4.C,0.68,0.08,0.03,0.01,0.69
ITS57,121,RMBL,16-Aug,ACLE,ACLE,root,8,7,W,RMBL.ACLE.root.8.W,0.8,0,0.04,0.15,0.95
ITS195,122,KY,16-Oct,FEAR_Em,FEAR_Em,leaves,2W,2,W,KY.FEAR_Em.leaves.2.W,0,0,0,0,0.06
ITS109,123,Kessler,16-Jul,SCSC,SCSC,leaves,3W,3,W,Kessler.SCSC.leaves.3.W,0,0,0,0,0.09
ITS48,124,RMBL,16-Aug,ACLE,ACLE,root,5,5,C,RMBL.ACLE.root.5.C,0.79,0.04,0.06,0.08,0.87
ITS64,125,RMBL,16-Aug,FETH,FETH,root,10,9,W,RMBL.FETH.root.10.W,0.47,0,0.02,0.08,0.55
ITS140,126,RMBL,16-Aug,FETH,FETH,leaves,1,1,C,RMBL.FETH.leaves.1.C,0,0,0,0,0.137254902
ITS30,127,Kessler,16-Jul,SCSC,SCSC,root,1W,1,W,Kessler.SCSC.root.1.W,0.306930693,0.02970297,0.04950495,0,0.306930693
ITS26,128,Kessler,16-Jul,SCSC,SCSC,root,1C,1,C,Kessler.SCSC.root.1.C,0.78,0.09,0.07,0.06,0.84
ITS196,129,KY,16-Oct,ELCA_Ep,ELCA_Ep,leaves,3W,3,W,KY.ELCA_Ep.leaves.3.W,0,0,0,0,0.08
ITS36,130,RMBL,16-Aug,ACLE,ACLE,root,1,1,C,RMBL.ACLE.root.1.C,0.376237624,0.079207921,0.079207921,0.02970297,0.405940594
ITS114,131,Kessler,16-Jul,SONU,SONU,leaves,6C,6,C,Kessler.SONU.leaves.6.C,0,0,0,0,0
ITS12,132,Kessler,16-Jul,SONU,SONU,root,5W,5,W,Kessler.SONU.root.5.W,0.18,0.03,0.02,0.06,0.24
ITS157,133,RMBL,16-Aug,ACLE,ACLE,leaves,7,7,C,RMBL.ACLE.leaves.7.C,0,0,0,0,0.27
ITS13,134,Kessler,16-Jul,SONU,SONU,root,5C,5,C,Kessler.SONU.root.5.C,0.47,0,0.01,0.02,0.49
ITS142,135,RMBL,16-Aug,ACLE,ACLE,leaves,2,1,W,RMBL.ACLE.leaves.2.W,0,0,0,0,0
ITS152,136,RMBL,16-Aug,FETH,FETH,leaves,5,5,C,RMBL.FETH.leaves.5.C,0,0,0,0,0.04
ITS65,137,RMBL,16-Aug,POPR,POPR,root,10,9,W,RMBL.POPR.root.10.W,,,,,
ITS20,138,Kessler,16-Jul,SONU,SONU,root,2W,2,W,Kessler.SONU.root.2.W,0.217821782,0,0.00990099,0.02970297,0.247524752
ITS168,139,RMBL,16-Aug,POPR,POPR,leaves,10,9,W,RMBL.POPR.leaves.10.W,0,0,0,0,1.25
ITS9,140,Kessler,16-Jul,SPCO,SPCO,root,5C,5,C,Kessler.SPCO.root.5.C,0.196078431,0,0.029411765,0,0.196078431
ITS55,141,RMBL,16-Aug,FETH,FETH,root,7,7,C,RMBL.FETH.root.7.C,0.910891089,0.188118812,0.188118812,0.168316832,1.079207921
ITS164,142,RMBL,16-Aug,FETH,FETH,leaves,9,9,C,RMBL.FETH.leaves.9.C,0,0,0,0,0.04
ITS75,143,KY,16-Oct,FEAR_Ep,FEAR_Ep,root,3C,3,C,KY.FEAR_Ep.root.3.C,0.26,0.02,0.05,0.05,0.31
ITS83,144,KY,16-Oct,FEAR_Ep,FEAR_Ep,root,5C,5,C,KY.FEAR_Ep.root.5.C,0.63,0.14,0.05,0.1,0.73
ITS206,145,KY,16-Oct,FEAR_Em,FEAR_Em,leaves,5W,5,W,KY.FEAR_Em.leaves.5.W,0,0,0,0,0
